scenario_id,protocol,run_number,message_id,send_timestamp,receive_timestamp,latency_ms,status,payload_size,response_size,http_status_code,error_message
S1_HTTP,http,1,1,1774289917.895984,1774289917.9005132,4.529237747192383,success,1028,81,200,
S1_HTTP,http,1,2,1774289917.921141,1774289917.9234693,2.3283958435058594,success,1028,82,200,
S1_HTTP,http,1,3,1774289917.9440615,1774289917.9466083,2.5467872619628906,success,1028,81,200,
S1_HTTP,http,1,4,1774289917.9669673,1774289917.9693313,2.363920211791992,success,1028,82,200,
S1_HTTP,http,1,5,1774289917.9900613,1774289917.9923015,2.2401809692382812,success,1028,82,200,
S1_HTTP,http,1,6,1774289918.0129802,1774289918.0153759,2.3956298828125,success,1028,81,200,
S1_HTTP,http,1,7,1774289918.036108,1774289918.0384932,2.3851394653320312,success,1028,82,200,
S1_HTTP,http,1,8,1774289918.0591362,1774289918.061312,2.1758079528808594,success,1028,82,200,
S1_HTTP,http,1,9,1774289918.0816576,1774289918.0838938,2.2361278533935547,success,1028,82,200,
S1_HTTP,http,1,10,1774289918.104627,1774289918.1068444,2.217531204223633,success,1028,82,200,
S1_HTTP,http,2,1,1774289918.3180513,1774289918.3309531,12.901782989501953,success,1028,82,200,
S1_HTTP,http,2,2,1774289918.351718,1774289918.3539305,2.2125244140625,success,1028,82,200,
S1_HTTP,http,2,3,1774289918.374681,1774289918.3768604,2.179384231567383,success,1028,82,200,
S1_HTTP,http,2,4,1774289918.3973281,1774289918.3997838,2.4557113647460938,success,1028,82,200,
S1_HTTP,http,2,5,1774289918.4203508,1774289918.422954,2.603292465209961,success,1028,81,200,
S1_HTTP,http,2,6,1774289918.4433868,1774289918.445933,2.5463104248046875,success,1028,82,200,
S1_HTTP,http,2,7,1774289918.4665654,1774289918.468942,2.376556396484375,success,1028,82,200,
S1_HTTP,http,2,8,1774289918.48957,1774289918.4919474,2.3775100708007812,success,1028,82,200,
S1_HTTP,http,2,9,1774289918.5124028,1774289918.5148897,2.4869441986083984,success,1028,82,200,
S1_HTTP,http,2,10,1774289918.5355153,1774289918.5379326,2.417325973510742,success,1028,82,200,
S1_HTTP,http,3,1,1774289918.741619,1774289918.7538898,12.270689010620117,success,1028,82,200,
S1_HTTP,http,3,2,1774289918.7744405,1774289918.7766886,2.248048782348633,success,1028,82,200,
S1_HTTP,http,3,3,1774289918.7971563,1774289918.799467,2.3107528686523438,success,1028,82,200,
S1_HTTP,http,3,4,1774289918.8197448,1774289918.8219879,2.2430419921875,success,1028,81,200,
S1_HTTP,http,3,5,1774289918.842361,1774289918.8445508,2.1898746490478516,success,1028,82,200,
S1_HTTP,http,3,6,1774289918.8648977,1774289918.867069,2.1712779998779297,success,1028,82,200,
S1_HTTP,http,3,7,1774289918.8874407,1774289918.889743,2.302408218383789,success,1028,81,200,
S1_HTTP,http,3,8,1774289918.910159,1774289918.9124038,2.244710922241211,success,1028,82,200,
S1_HTTP,http,3,9,1774289918.9328704,1774289918.9351287,2.25830078125,success,1028,82,200,
S1_HTTP,http,3,10,1774289918.955499,1774289918.957646,2.1469593048095703,success,1028,79,200,
